what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670055197
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670083416
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1345670123886
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1345670124279
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1345670124424
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1345670124480
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1345670127363
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.AllMarkersView",1345670131862
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1345670131925
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1345670133455
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1345670135037
started,bundle,org.eclipse.rse.services,3.2.100.v201102281950,"org.eclipse.rse.services",1345670135189
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1345670135997
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1345670136268
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1345670139032
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1345670142467
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1345670143273
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1345670143981
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670146379
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1345670147702
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670147756
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1345670150140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1345670150718
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1345670151784
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1345670160233
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670166404
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670167571
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1345670169314
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1345670169916
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1345670189231
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1345670190372
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1345670197469
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1345670200232
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1345670200345
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1345670200532
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1345670204480
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1345670204482
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1345670204485
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1345670206340
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1345670211168
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670212298
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345670213314
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670213332
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670219920
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670226005
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1345670227697
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1345670229842
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1345670236772
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1345670238480
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1345670240256
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1345670241853
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1345670243289
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1345670245209
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1345670245802
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1345670249992
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1345670255904
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1345670259260
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1345670260663
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1345670270835
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670274775
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670278107
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670284671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670288310
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1345670290362
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670293505
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.cleanAction",1345670294497
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670294520
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1345670294874
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1345670294900
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1345670295015
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1345670299816
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670304573
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1345670305519
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670305540
started,bundle,org.jboss.tools.jmx.ui,1.2.0.v20111208-2111-H30-M5,"org.jboss.tools.jmx.ui",1345670305655
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670307241
error,log,,,"Invalid preference page path: Usage Reporting",1345670314154
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670319984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670332256
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1345670333335
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670333352
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1345670335073
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1345670336351
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670336662
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670347939
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670354324
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1345670355212
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670355231
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670356332
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670366628
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670368254
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670370942
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670374051
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670377163
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670381411
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.cleanAction",1345670382502
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670382530
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670387986
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670388486
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345670388802
